signals,symbols,forward_5d_mean,forward_5d_median,positive_rate,mfe_5d_mean,mae_5d_mean,filter,conditions,regime,raw_signals,raw_5d_mean,raw_5d_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
0,0,,,,,,TREND_50200_BULL,TREND_50200_BULL,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,,,
15,7,0.03141997247235077,0.0292354755272581,0.8,0.05299789831333591,-0.01564166696458661,BREAKOUT_20,BREAKOUT_20,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.00794418604831348,0.0057691282732437,0.11632653061224496
0,0,,,,,,BREAKOUT20_TREND,BREAKOUT_20 + TREND_50200_BULL,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,,,
0,0,,,,,,BULL_DIV_RSI_TREND,BULL_RSI_DIV + TREND_50200_BULL,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,,,
4,2,0.06445086063919114,0.07735635987113294,1.0,0.08852063239015341,-0.0049200141319212,BREAKOUT_50,BREAKOUT_50,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.04097507421515385,0.053890012617118545,0.3163265306122449
57,18,-4.37419121168868e-05,-0.0009172690627865,0.47368421052631576,0.026175885605391736,-0.028226704635606892,BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,BULL_HIGH_VOL,775,0.00025400353592148274,0.0009654486410577,0.5096774193548387,-0.00029774544803836956,-0.0018827177038442,-0.035993208828522916
32,14,-0.025164819441537117,-0.0121116926868483,0.40625,0.03561791737563466,-0.06060687092086865,BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,BULL_HIGH_VOL,775,0.00025400353592148274,0.0009654486410577,0.5096774193548387,-0.0254188229774586,-0.013077141327906001,-0.10342741935483868
21,15,-0.007413388041962248,-0.0148120219756544,0.3333333333333333,0.028471760674538986,-0.03592385961653345,EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,BULL_HIGH_VOL,775,0.00025400353592148274,0.0009654486410577,0.5096774193548387,-0.00766739157788373,-0.0157774706167121,-0.17634408602150536
38,15,-0.021023289105480035,-0.0090910005080763,0.42105263157894735,0.03462207666855094,-0.05718869686194113,BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,BULL_HIGH_VOL,775,0.00025400353592148274,0.0009654486410577,0.5096774193548387,-0.02127729264140152,-0.010056449149134,-0.08862478777589133
39,23,-0.009642125328225292,-0.0080579653637454,0.38461538461538464,0.02437258992076714,-0.03673538478276337,EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,BULL_HIGH_VOL,775,0.00025400353592148274,0.0009654486410577,0.5096774193548387,-0.009896128864146776,-0.009023414004803101,-0.12506203473945404
