exit_type,exit_time,return,mfe,mae,stop_hit,target_hit,ambiguous,holding_days,symbol,signal_time,entry_time,entry_price,policy,survivor
TIME_1D,2024-06-26 04:00:00+00:00,0.013919486292911731,0.014709804890096434,-0.001017535193875041,False,False,False,1,META,2024-06-25 04:00:00+00:00,2024-06-26 04:00:00+00:00,506.125,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-08-01 04:00:00+00:00,-0.014611104176384448,0.0060704407639293745,-0.02059613830618945,False,False,False,1,META,2025-07-31 04:00:00+00:00,2025-08-01 04:00:00+00:00,761.065,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-11-26 05:00:00+00:00,-0.005524081542976345,0.0015144144002761095,-0.008552910343528897,False,False,False,1,META,2025-11-25 05:00:00+00:00,2025-11-26 05:00:00+00:00,637.21,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-06-05 04:00:00+00:00,-0.04770701148502121,0.010232109870693229,-0.063593285679865,False,False,False,1,META,2026-06-04 04:00:00+00:00,2026-06-05 04:00:00+00:00,622.55,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-07-02 04:00:00+00:00,-0.04037676195494666,0.004478988275589568,-0.04418060861546558,False,False,False,1,META,2026-07-01 04:00:00+00:00,2026-07-02 04:00:00+00:00,607.28,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-09-12 04:00:00+00:00,0.008717015898514147,0.009248541258179532,-0.008268172261463258,False,False,False,1,MSFT,2024-09-11 04:00:00+00:00,2024-09-12 04:00:00+00:00,423.31,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-12-22 05:00:00+00:00,-0.0027051768650805386,0.005276637763446113,-0.006994373643554486,False,False,False,1,MSFT,2025-12-19 05:00:00+00:00,2025-12-22 05:00:00+00:00,486.105,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-04-14 04:00:00+00:00,0.01397040801847238,0.018201519588240567,-0.0026186452703139684,False,False,False,1,MSFT,2026-04-13 04:00:00+00:00,2026-04-14 04:00:00+00:00,387.605,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-07-29 04:00:00+00:00,-0.0059743231219017146,0.020058472098639868,-0.011707131053768971,False,False,False,1,MSFT,2026-07-28 04:00:00+00:00,2026-07-29 04:00:00+00:00,393.35,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-09-12 04:00:00+00:00,0.020195105254150247,0.033629984596953655,-0.01249358206400819,False,False,False,1,NVDA,2024-09-11 04:00:00+00:00,2024-09-12 04:00:00+00:00,116.86,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-10-04 04:00:00+00:00,-0.00032017930040828535,0.0005603137757144161,-0.02417353718082138,False,False,False,1,NVDA,2024-10-03 04:00:00+00:00,2024-10-04 04:00:00+00:00,124.93,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-01-03 05:00:00+00:00,0.031571428571428584,0.03496428571428578,-0.0011785714285713622,False,False,False,1,NVDA,2025-01-02 05:00:00+00:00,2025-01-03 05:00:00+00:00,140.0,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-01-22 05:00:00+00:00,0.015646047041757427,0.020861396055676495,-0.00728767312541001,False,False,False,1,NVDA,2025-01-21 05:00:00+00:00,2025-01-22 05:00:00+00:00,144.765,TIME_1D,EMA38_MACD_VOLUME
